"",MUSIC,CBTE,CBTT,MUSIC,CBTE,CBTT
40.37 (9.64),40.72 (11.02),41.39 (12.73),40.61 (10.99),40.37,9.64,40.72,11.02,41.39,12.73,40.61,10.99
7 (37%),12 (67%),6 (32%),25 (45%),7,37,12,67,6,32,25,45
0 (0%),2 (11%),0 (0%),2 (4%),0,0,2,11,0,0,2,4
1 (5%),5 (28%),2 (11%),8 (14%),1,5,5,28,2,11,8,14
2 (11%),5 (28%),2 (11%),9 (16%),2,11,5,28,2,11,9,16
0 (0%),1 (6%),0 (0%),1 (2%),0,0,1,6,0,0,1,2
6 (32%),1 (6%),5 (26%),12 (21%),6,32,1,6,5,26,12,21
3 (16%),5 (28%),5 (26%),13 (23%),3,16,5,28,5,26,13,23
5 (26%),7 (39%),3 (16%),15 (27%),5,26,7,39,3,16,15,27
5 (26%),4 (22%),6 (32%),15 (27%),5,26,4,22,6,32,15,27
14 (74%),16 (89%),16 (84%),46 (82%),14,74,16,89,16,84,46,82
2 (11%),0 (0%),2 (11%),4 (7%),2,11,0,0,2,11,4,7
1 (5%),1 (6%),0 (0%),2 (4%),1,5,1,6,0,0,2,4
0 (0%),1 (6%),0 (0%),1 (2%),0,0,1,6,0,0,1,2
1 (5%),0 (0%),0 (0%),1 (2%),1,5,0,0,0,0,1,2
0 (0%),0 (0%),1 (5%),1 (2%),0,0,0,0,1,5,1,2
1 (5%),0 (0%),0 (0%),1 (2%),1,5,0,0,0,0,1,2
9 (47%),10 (56%),7 (39%),26 (46%),9,47,10,56,7,39,26,46
16.16 (4.27),16.06 (6.21),16.35 (6.40),16.46 (5.70),16.16,4.27,16.06,6.21,16.35,6.40,16.46,5.70
17.42 (3.08),16.78 (5.43),18.00 (4.02),17.64 (4.40),17.42,3.08,16.78,5.43,18.00,4.02,17.64,4.40
22.94 (11.18),23.94 (12.40),22.35 (15.08),22.96 (12.70),22.94,11.18,23.94,12.40,22.35,15.08,22.96,12.70
3.16 (1.61),7.28 (7.37),4.82 (4.57),4.96 (5.18),3.16,1.61,7.28,7.37,4.82,4.57,4.96,5.18
"",,,,,,,,,,,
3 (16%),0 (0%),1 (5%),4 (7%),3,16,0,0,1,5,4,7
2 (11%),1 (6%),0 (0%),3 (5%),2,11,1,6,0,0,3,5
5 (26%),3 (17%),4 (21%),12 (21%),5,26,3,17,4,21,12,21
0 (0%),4 (22%),4 (21%),8 (14%),0,0,4,22,4,21,8,14
1 (5%),4 (22%),3 (16%),8 (14%),1,5,4,22,3,16,8,14
3 (16%),0 (0%),0 (0%),3 (5%),3,16,0,0,0,0,3,5
3 (16%),2 (11%),4 (21%),9 (16%),3,16,2,11,4,21,9,16
2 (11%),4 (22%),3 (16%),9 (16%),2,11,4,22,3,16,9,16
"Note. Data are displayed as Number (%) or Mean (Standard Deviation).
"
